epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,8332.79,0.64122,1.82698,0.97634,0.6857,0.54303,0.58495,0.49127,1.22959,5.71618,1.42012,0.0001139,0.0001139,0.0001139
158,9123.36,0.63773,1.78384,0.97412,0.46225,0.18058,0.28154,0.21524,1.20548,5.74673,1.41002,0.000111425,0.000111425,0.000111425
159,118.696,0.68044,2.18457,1.0213,0.60439,0.58491,0.58742,0.45722,1.25794,6.17415,1.45104,0.00010895,0.00010895,0.00010895
160,257.261,0.68152,2.02447,1.0119,0.66969,0.57259,0.599,0.46344,1.22297,5.62722,1.42004,0.000106475,0.000106475,0.000106475
161,455.051,0.68615,2.00238,1.01134,0.67925,0.5877,0.60332,0.47447,1.20735,5.34107,1.41171,0.000104,0.000104,0.000104
162,663.64,0.64599,1.85998,0.98565,0.6936,0.57095,0.60206,0.50126,1.15159,5.21662,1.39535,0.000101525,0.000101525,0.000101525
163,873.038,0.63597,1.81255,1.00129,0.63661,0.42208,0.52189,0.43304,1.18959,5.39582,1.48817,9.905e-05,9.905e-05,9.905e-05
164,1062.63,0.64987,1.88026,0.99848,0.66913,0.60247,0.61581,0.485,1.24472,5.58509,1.5107,9.6575e-05,9.6575e-05,9.6575e-05
165,1322.24,0.64367,1.81448,0.9847,0.67981,0.6552,0.64787,0.50801,1.22478,5.56164,1.42977,9.41e-05,9.41e-05,9.41e-05
166,1663.13,0.62086,1.8076,0.98678,0.65663,0.5506,0.58213,0.4845,1.22494,5.50129,1.46522,9.1625e-05,9.1625e-05,9.1625e-05
167,1958.42,0.62896,1.78308,0.99533,0.70926,0.66875,0.6519,0.51922,1.2277,5.46502,1.46344,8.915e-05,8.915e-05,8.915e-05
168,2294.56,0.63559,1.78753,0.99776,0.67017,0.57034,0.5933,0.46434,1.22349,5.6379,1.42687,8.6675e-05,8.6675e-05,8.6675e-05
169,2566.46,0.59719,1.68662,0.96492,0.70785,0.72391,0.66912,0.53049,1.2269,5.49521,1.44234,8.42e-05,8.42e-05,8.42e-05
170,2899.02,0.60264,1.68639,0.97177,0.6933,0.59767,0.61493,0.48104,1.21422,5.53155,1.44222,8.1725e-05,8.1725e-05,8.1725e-05
171,3229.89,0.63705,1.77121,0.9921,0.67223,0.66524,0.63931,0.49384,1.25638,5.68541,1.49758,7.925e-05,7.925e-05,7.925e-05
